table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default
public,analytics_daily_active_users,4,active_identities,bigint,YES,NULL
public,analytics_daily_active_users,5,sessions,bigint,YES,NULL
public,analytics_daily_active_users,6,total_events,bigint,YES,NULL
public,analytics_daily_active_users,7,app_opens,bigint,YES,NULL
public,analytics_daily_active_users,8,screen_views,bigint,YES,NULL
public,analytics_destination_performance_daily,1,event_date,date,YES,NULL
public,analytics_destination_performance_daily,2,destination_id,uuid,YES,NULL
public,analytics_destination_performance_daily,3,unique_identities,bigint,YES,NULL
public,analytics_destination_performance_daily,4,profile_views,bigint,YES,NULL
public,analytics_destination_performance_daily,5,directions_taps,bigint,YES,NULL
public,analytics_destination_performance_daily,6,rating_starts,bigint,YES,NULL
public,analytics_destination_performance_daily,7,rating_completions,bigint,YES,NULL
public,analytics_destination_performance_daily,8,shares,bigint,YES,NULL
public,analytics_discovery_daily,1,event_date,date,YES,NULL
public,analytics_discovery_daily,2,restaurant_searches_with_results,bigint,YES,NULL
public,analytics_discovery_daily,3,restaurant_search_empty,bigint,YES,NULL
public,analytics_discovery_daily,4,restaurant_search_failed,bigint,YES,NULL
public,analytics_discovery_daily,5,restaurant_search_result_selected,bigint,YES,NULL
public,analytics_discovery_daily,6,restaurant_profile_views,bigint,YES,NULL
public,analytics_discovery_daily,7,directions_taps,bigint,YES,NULL
public,analytics_discovery_daily,8,map_opens,bigint,YES,NULL
public,analytics_discovery_daily,9,failures,bigint,YES,NULL
public,analytics_discovery_daily,10,slow_screens,bigint,YES,NULL
public,analytics_rating_funnel_daily,1,event_date,date,YES,NULL
public,analytics_rating_funnel_daily,2,rating_started,bigint,YES,NULL
public,analytics_rating_funnel_daily,3,rating_completed,bigint,YES,NULL
public,analytics_rating_funnel_daily,4,rating_not_completed,bigint,YES,NULL
public,analytics_rating_funnel_daily,5,rating_abandoned,bigint,YES,NULL
public,analytics_rating_funnel_daily,6,rating_failed,bigint,YES,NULL
public,analytics_rating_funnel_daily,7,rating_validation_failed,bigint,YES,NULL
public,analytics_rating_funnel_daily,8,completion_rate,numeric,YES,NULL
public,analytics_route_performance_daily,1,event_date,date,YES,NULL
public,analytics_route_performance_daily,2,route_id,uuid,YES,NULL
public,analytics_route_performance_daily,3,unique_identities,bigint,YES,NULL
public,analytics_route_performance_daily,4,crawl_views,bigint,YES,NULL
public,analytics_route_performance_daily,5,crawl_starts,bigint,YES,NULL
public,analytics_route_performance_daily,6,crawl_saves,bigint,YES,NULL
public,analytics_route_performance_daily,7,crawl_completions,bigint,YES,NULL
public,analytics_route_performance_daily,8,ratings_completed,bigint,YES,NULL
public,analytics_route_performance_daily,9,leaderboard_views,bigint,YES,NULL
public,analytics_social_opt_out_by_account_age,1,account_age_bucket,text,YES,NULL
public,analytics_social_opt_out_by_account_age,2,total_users,bigint,YES,NULL
public,analytics_social_opt_out_by_account_age,3,total_users_opted_out,bigint,YES,NULL
public,analytics_social_opt_out_by_account_age,4,opt_out_rate,numeric,YES,NULL
public,analytics_social_opt_out_by_facebook_link,1,facebook_connected,boolean,YES,NULL
public,analytics_social_opt_out_by_facebook_link,2,total_users,bigint,YES,NULL
public,analytics_social_opt_out_by_facebook_link,3,total_users_opted_out,bigint,YES,NULL
public,analytics_social_opt_out_by_facebook_link,4,opt_out_rate,numeric,YES,NULL
public,analytics_social_opt_out_summary,1,total_users,bigint,YES,NULL
public,analytics_social_opt_out_summary,2,total_users_opted_out,bigint,YES,NULL
public,analytics_social_opt_out_summary,3,opt_out_rate,numeric,YES,NULL
public,badge_catalog,1,id,bigint,NO,nextval('badge_catalog_id_seq'::regclass)
public,badge_catalog,2,code,text,NO,NULL
public,badge_catalog,3,name,text,NO,NULL
public,badge_catalog,4,description,text,YES,NULL
public,badge_catalog,5,icon,text,YES,NULL
public,badge_catalog,6,xp_reward,integer,NO,0
public,badge_catalog,7,category,text,YES,NULL
public,badge_catalog,8,tier,integer,YES,1
public,badge_catalog,9,is_active,boolean,NO,true
public,buffacoin_ledger,1,id,uuid,NO,gen_random_uuid()
public,buffacoin_ledger,2,user_id,uuid,NO,NULL
public,buffacoin_ledger,3,delta,integer,NO,NULL
public,buffacoin_ledger,4,reason,text,NO,NULL
public,buffacoin_ledger,5,crawl_id,uuid,YES,NULL
public,buffacoin_ledger,6,state_id,integer,YES,NULL
public,buffacoin_ledger,7,destination_id,uuid,YES,NULL
public,buffacoin_ledger,8,created_at,timestamp with time zone,NO,now()
public,buffacoin_wallets,1,user_id,uuid,NO,NULL
public,buffacoin_wallets,2,balance,integer,NO,0
public,buffacoin_wallets,3,updated_at,timestamp with time zone,NO,now()
public,buffacoin_wallets,4,created_at,timestamp with time zone,NO,now()
public,crawl_coverage_public,1,crawl_id,uuid,YES,NULL
public,crawl_coverage_public,2,user_id,uuid,YES,NULL
public,crawl_coverage_public,3,route_id,uuid,YES,NULL
public,crawl_coverage_public,4,status,text,YES,NULL
public,crawl_coverage_public,5,start_time,timestamp with time zone,YES,NULL
public,crawl_coverage_public,6,end_time,timestamp with time zone,YES,NULL
public,crawl_coverage_public,7,stop_count,integer,YES,NULL
public,crawl_coverage_public,8,rated_count,bigint,YES,NULL
public,crawl_coverage_public,9,pct_rated,numeric,YES,NULL
public,crawl_public,1,crawl_id,uuid,YES,NULL
public,crawl_public,2,user_id,uuid,YES,NULL
public,crawl_public,3,route_id,uuid,YES,NULL
public,crawl_public,4,status,text,YES,NULL
public,crawl_public,5,start_time,timestamp with time zone,YES,NULL
public,crawl_public,6,end_time,timestamp with time zone,YES,NULL
public,crawl_weekly_streak,1,user_id,uuid,YES,NULL
public,crawl_weekly_streak,2,current_streak_weeks,bigint,YES,NULL
public,crawls,1,crawl_id,uuid,NO,gen_random_uuid()
public,crawls,2,route_id,uuid,YES,NULL
public,crawls,3,user_id,uuid,YES,NULL
public,crawls,4,status,text,NO,'created'::text
public,crawls,6,start_time,timestamp with time zone,YES,NULL
public,crawls,7,end_time,timestamp with time zone,YES,NULL
public,crawls,10,crawl_type,text,NO,'route'::text
public,crawls,11,is_solo,boolean,NO,false
public,custom_restaurant_sourcing,1,id,uuid,NO,gen_random_uuid()
public,custom_restaurant_sourcing,2,state_id,integer,NO,NULL
public,custom_restaurant_sourcing,3,restaurant_name,text,NO,NULL
public,custom_restaurant_sourcing,4,ratings,jsonb,NO,NULL
public,custom_restaurant_sourcing,5,prefs_snapshot,jsonb,YES,NULL
public,custom_restaurant_sourcing,6,created_at,timestamp with time zone,NO,now()
public,custom_restaurant_sourcing,7,user_id,uuid,YES,NULL
public,daily_xp_claims,1,id,bigint,NO,NULL
public,daily_xp_claims,2,user_id,uuid,NO,NULL
public,daily_xp_claims,3,claimed_at,timestamp with time zone,NO,now()
public,daily_xp_claims,4,claim_date,date,YES,NULL
public,debug_logs,1,id,uuid,NO,gen_random_uuid()
public,debug_logs,2,created_at,timestamp with time zone,NO,now()
public,debug_logs,3,device_id,text,YES,NULL
public,debug_logs,4,user_id,uuid,YES,NULL
public,debug_logs,5,scope,text,NO,'auth'::text
public,debug_logs,6,event,text,NO,NULL
public,debug_logs,7,detail,jsonb,NO,'{}'::jsonb
public,destination_ratings,1,id,uuid,NO,gen_random_uuid()
public,destination_ratings,2,destination_id,uuid,NO,NULL
public,destination_ratings,3,crawl_id,uuid,NO,NULL
public,destination_ratings,4,user_id,uuid,YES,NULL
public,destination_ratings,5,crispiness,smallint,YES,NULL
public,destination_ratings,6,sauce,smallint,YES,NULL
public,destination_ratings,7,meat,smallint,YES,NULL
public,destination_ratings,8,overall,smallint,YES,NULL
public,destination_ratings,9,weight_score,numeric,YES,NULL
public,destination_ratings,10,created_at,timestamp with time zone,NO,now()
public,destination_ratings,11,tag_id,bigint,YES,NULL
public,destination_ratings,12,wings_eaten,smallint,YES,0
public,destination_ratings,13,sauce_style,smallint,YES,NULL
public,destination_ratings,14,flavor_vibe,ARRAY,YES,NULL
public,destination_ratings,15,spice_level,smallint,YES,NULL
public,destination_ratings,16,would_order_again,boolean,YES,NULL
public,destination_ratings,17,is_buffacoin,boolean,NO,false
public,destination_suggestions,1,id,uuid,NO,gen_random_uuid()
public,destination_suggestions,2,user_id,uuid,NO,NULL
public,destination_suggestions,3,state_id,integer,YES,NULL
public,destination_suggestions,4,restaurant_name,text,NO,NULL
public,destination_suggestions,5,address,text,YES,NULL
public,destination_suggestions,6,created_at,timestamp with time zone,NO,now()
public,destination_tags,1,id,bigint,NO,NULL
public,destination_tags,2,tag,text,NO,NULL
public,destination_tags,3,created_at,timestamp with time zone,NO,now()
public,destinations,1,id,uuid,NO,gen_random_uuid()
public,destinations,2,name,text,NO,NULL
public,destinations,3,address,text,YES,NULL
public,destinations,4,lat,numeric,YES,NULL
public,destinations,5,lng,numeric,YES,NULL
public,destinations,6,city,text,YES,NULL
public,destinations,7,created_by,uuid,YES,NULL
public,destinations,8,created_at,timestamp with time zone,NO,now()
public,destinations,10,state_id,integer,YES,NULL
public,friend_invite_codes,1,user_id,uuid,NO,NULL
public,friend_invite_codes,2,code,uuid,NO,gen_random_uuid()
public,friend_invite_codes,3,created_at,timestamp with time zone,NO,now()
public,friend_invite_codes,4,rotated_at,timestamp with time zone,NO,now()
public,friendships,1,id,uuid,NO,gen_random_uuid()
public,friendships,2,requester_id,uuid,NO,NULL
public,friendships,3,addressee_id,uuid,NO,NULL
public,friendships,4,status,text,NO,'pending'::text
public,friendships,5,created_at,timestamp with time zone,NO,now()
public,friendships,6,responded_at,timestamp with time zone,YES,NULL
public,friendships,7,updated_at,timestamp with time zone,NO,now()
public,fun_facts,1,id,uuid,NO,gen_random_uuid()
public,fun_facts,2,text,text,NO,NULL
public,fun_facts,3,source,text,YES,NULL
public,fun_facts,4,is_active,boolean,NO,true
public,fun_facts,5,created_at,timestamp with time zone,NO,now()
public,jalapeno_content_candidates,1,id,uuid,NO,gen_random_uuid()
public,jalapeno_content_candidates,2,run_id,uuid,NO,NULL
public,jalapeno_content_candidates,3,candidate_id,text,NO,NULL
public,jalapeno_content_candidates,4,content_type,text,NO,NULL
public,jalapeno_content_candidates,5,reason_chosen,text,YES,NULL
public,jalapeno_content_candidates,6,working_title,text,YES,NULL
public,jalapeno_content_candidates,7,short_summary,text,YES,NULL
public,jalapeno_content_candidates,8,target_emotion,text,YES,NULL
public,jalapeno_content_candidates,9,suggested_cta,text,YES,NULL
public,jalapeno_content_candidates,10,suggested_image_concept,text,YES,NULL
public,jalapeno_content_candidates,11,suggested_caption_angle,text,YES,NULL
public,jalapeno_content_candidates,12,primary_theme,text,YES,NULL
public,jalapeno_content_candidates,13,secondary_theme,text,YES,NULL
public,jalapeno_content_candidates,14,mood,text,YES,NULL
public,jalapeno_content_candidates,15,hook_style,text,YES,NULL
public,jalapeno_content_candidates,16,cta_category,text,YES,NULL
public,jalapeno_content_candidates,17,restaurants_mentioned,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_candidates,18,cities_mentioned,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_candidates,19,states_mentioned,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_candidates,20,food_categories,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_candidates,21,holiday_references,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_candidates,22,sports_references,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_candidates,23,current_event_references,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_candidates,24,source_signals,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_candidates,25,visual_style,text,YES,NULL
public,jalapeno_content_candidates,26,image_composition,text,YES,NULL
public,jalapeno_content_candidates,27,duplicate_score,numeric,YES,NULL
public,jalapeno_content_candidates,28,overall_score,numeric,YES,NULL
public,jalapeno_content_candidates,29,rejected,boolean,NO,false
public,jalapeno_content_candidates,30,rejection_reason,text,YES,NULL
public,jalapeno_content_candidates,31,score_breakdown,jsonb,NO,'{}'::jsonb
public,jalapeno_content_candidates,32,metadata,jsonb,NO,'{}'::jsonb
public,jalapeno_content_candidates,33,created_at,timestamp with time zone,NO,now()
public,jalapeno_content_candidates,34,updated_at,timestamp with time zone,NO,now()
public,jalapeno_content_candidates,35,caption_options,jsonb,NO,'[]'::jsonb
public,jalapeno_content_candidates,36,overlay_options,jsonb,NO,'[]'::jsonb
public,jalapeno_content_candidates,37,selected_caption,text,YES,NULL
public,jalapeno_content_candidates,38,selected_overlay,text,YES,NULL
public,jalapeno_content_candidates,39,ranking_reason,text,YES,NULL
public,jalapeno_content_candidates,40,ranking_score,numeric,YES,NULL
public,jalapeno_content_candidates,41,ranking_breakdown,jsonb,NO,'{}'::jsonb
public,jalapeno_content_candidates,42,openai_used,boolean,NO,false
public,jalapeno_content_candidates,43,openai_model,text,YES,NULL
public,jalapeno_content_candidates,44,fallback_reason,text,YES,NULL
public,jalapeno_content_candidates,45,feedback_summary_version,text,YES,NULL
public,jalapeno_content_candidates,46,feedback_summary,jsonb,NO,'{}'::jsonb
public,jalapeno_content_decisions,1,id,uuid,NO,gen_random_uuid()
public,jalapeno_content_decisions,2,run_id,uuid,NO,NULL
public,jalapeno_content_decisions,3,winner_candidate_id,text,YES,NULL
public,jalapeno_content_decisions,4,runner_up_candidate_id,text,YES,NULL
public,jalapeno_content_decisions,5,decision_summary,jsonb,NO,'{}'::jsonb
public,jalapeno_content_decisions,6,winner_reasoning,jsonb,NO,'[]'::jsonb
public,jalapeno_content_decisions,7,model_name,text,YES,NULL
public,jalapeno_content_decisions,8,token_usage,jsonb,NO,'{}'::jsonb
public,jalapeno_content_decisions,9,cost_estimate,numeric,YES,NULL
public,jalapeno_content_decisions,10,platform,text,NO,'instagram'::text
public,jalapeno_content_decisions,11,created_at,timestamp with time zone,NO,now()
public,jalapeno_content_decisions,12,updated_at,timestamp with time zone,NO,now()
public,jalapeno_content_decisions,13,image_asset_id,uuid,YES,NULL
public,jalapeno_content_decisions,14,image_public_url,text,YES,NULL
public,jalapeno_content_decisions,15,image_storage_path,text,YES,NULL
public,jalapeno_content_decisions,16,image_uploaded_at,timestamp with time zone,YES,NULL
public,jalapeno_content_decisions,17,caption_options,jsonb,NO,'[]'::jsonb
public,jalapeno_content_decisions,18,overlay_options,jsonb,NO,'[]'::jsonb
public,jalapeno_content_decisions,19,selected_caption,text,YES,NULL
public,jalapeno_content_decisions,20,selected_overlay,text,YES,NULL
public,jalapeno_content_decisions,21,ranking_reason,text,YES,NULL
public,jalapeno_content_decisions,22,ranking_score,numeric,YES,NULL
public,jalapeno_content_decisions,23,ranking_breakdown,jsonb,NO,'{}'::jsonb
public,jalapeno_content_decisions,24,openai_used,boolean,NO,false
public,jalapeno_content_decisions,25,openai_model,text,YES,NULL
public,jalapeno_content_decisions,26,fallback_reason,text,YES,NULL
public,jalapeno_content_decisions,27,feedback_summary_version,text,YES,NULL
public,jalapeno_content_decisions,28,feedback_summary,jsonb,NO,'{}'::jsonb
public,jalapeno_content_memory,1,id,uuid,NO,gen_random_uuid()
public,jalapeno_content_memory,2,post_id,text,NO,NULL
public,jalapeno_content_memory,3,run_id,uuid,YES,NULL
public,jalapeno_content_memory,4,timestamp,timestamp with time zone,NO,now()
public,jalapeno_content_memory,5,platform,text,NO,'instagram'::text
public,jalapeno_content_memory,6,post_type,text,YES,NULL
public,jalapeno_content_memory,7,primary_theme,text,YES,NULL
public,jalapeno_content_memory,8,secondary_theme,text,YES,NULL
public,jalapeno_content_memory,9,mood,text,YES,NULL
public,jalapeno_content_memory,10,target_emotion,text,YES,NULL
public,jalapeno_content_memory,11,restaurants_mentioned,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_memory,12,cities_mentioned,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_memory,13,states_mentioned,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_memory,14,food_categories,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_memory,15,holiday_references,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_memory,16,sports_references,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_memory,17,current_event_references,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_memory,18,hook_style,text,YES,NULL
public,jalapeno_content_memory,19,cta_category,text,YES,NULL
public,jalapeno_content_memory,20,specific_cta,text,YES,NULL
public,jalapeno_content_memory,21,hashtags,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_memory,22,dominant_image_colors,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_content_memory,23,image_style,text,YES,NULL
public,jalapeno_content_memory,24,image_composition,text,YES,NULL
public,jalapeno_content_memory,25,caption_length,integer,YES,NULL
public,jalapeno_content_memory,26,emoji_count,integer,YES,NULL
public,jalapeno_content_memory,27,question_included,boolean,YES,NULL
public,jalapeno_content_memory,28,carousel,boolean,YES,NULL
public,jalapeno_content_memory,29,publishing_time,text,YES,NULL
public,jalapeno_content_memory,30,likes,integer,YES,NULL
public,jalapeno_content_memory,31,comments,integer,YES,NULL
public,jalapeno_content_memory,32,shares,integer,YES,NULL
public,jalapeno_content_memory,33,saves,integer,YES,NULL
public,jalapeno_content_memory,34,reach,integer,YES,NULL
public,jalapeno_content_memory,35,impressions,integer,YES,NULL
public,jalapeno_content_memory,36,engagement_rate,numeric,YES,NULL
public,jalapeno_content_memory,37,follower_growth,integer,YES,NULL
public,jalapeno_content_memory,38,metadata,jsonb,NO,'{}'::jsonb
public,jalapeno_content_memory,39,created_at,timestamp with time zone,NO,now()
public,jalapeno_content_memory,40,updated_at,timestamp with time zone,NO,now()
public,jalapeno_content_performance,1,id,uuid,NO,gen_random_uuid()
public,jalapeno_content_performance,2,post_id,text,NO,NULL
public,jalapeno_content_performance,3,run_id,uuid,YES,NULL
public,jalapeno_content_performance,4,platform,text,NO,'instagram'::text
public,jalapeno_content_performance,5,likes,integer,YES,NULL
public,jalapeno_content_performance,6,comments,integer,YES,NULL
public,jalapeno_content_performance,7,shares,integer,YES,NULL
public,jalapeno_content_performance,8,saves,integer,YES,NULL
public,jalapeno_content_performance,9,reach,integer,YES,NULL
public,jalapeno_content_performance,10,impressions,integer,YES,NULL
public,jalapeno_content_performance,11,engagement_rate,numeric,YES,NULL
public,jalapeno_content_performance,12,follower_growth,integer,YES,NULL
public,jalapeno_content_performance,13,raw_metrics,jsonb,NO,'{}'::jsonb
public,jalapeno_content_performance,14,captured_at,timestamp with time zone,NO,now()
public,jalapeno_content_performance,15,created_at,timestamp with time zone,NO,now()
public,jalapeno_content_strategy,1,id,uuid,NO,gen_random_uuid()
public,jalapeno_content_strategy,2,report_id,uuid,YES,NULL
public,jalapeno_content_strategy,3,strategy_status,text,NO,'draft'::text
public,jalapeno_content_strategy,4,is_active,boolean,NO,false
public,jalapeno_content_strategy,5,effective_from,timestamp with time zone,NO,now()
public,jalapeno_content_strategy,6,effective_to,timestamp with time zone,YES,NULL
public,jalapeno_content_strategy,7,strategy,jsonb,NO,'{}'::jsonb
public,jalapeno_content_strategy,8,rationale,jsonb,NO,'{}'::jsonb
public,jalapeno_content_strategy,9,applied_at,timestamp with time zone,YES,NULL
public,jalapeno_content_strategy,10,created_at,timestamp with time zone,NO,now()
public,jalapeno_content_strategy,11,updated_at,timestamp with time zone,NO,now()
public,jalapeno_errors,1,id,uuid,NO,gen_random_uuid()
public,jalapeno_errors,2,run_id,uuid,YES,NULL
public,jalapeno_errors,3,post_id,uuid,YES,NULL
public,jalapeno_errors,4,candidate_id,uuid,YES,NULL
public,jalapeno_errors,5,stage,text,NO,NULL
public,jalapeno_errors,6,error_type,text,YES,NULL
public,jalapeno_errors,7,message,text,NO,NULL
public,jalapeno_errors,8,stack_trace,text,YES,NULL
public,jalapeno_errors,9,raw_payload,jsonb,NO,'{}'::jsonb
public,jalapeno_errors,10,is_retryable,boolean,NO,false
public,jalapeno_errors,11,retry_count,integer,NO,0
public,jalapeno_errors,12,resolved,boolean,NO,false
public,jalapeno_errors,13,resolved_at,timestamp with time zone,YES,NULL
public,jalapeno_errors,14,created_at,timestamp with time zone,NO,now()
public,jalapeno_growth_reports,1,id,uuid,NO,gen_random_uuid()
public,jalapeno_growth_reports,2,report_week_start,timestamp with time zone,NO,NULL
public,jalapeno_growth_reports,3,report_week_end,timestamp with time zone,NO,NULL
public,jalapeno_growth_reports,4,report_type,text,NO,'weekly_growth'::text
public,jalapeno_growth_reports,5,summary,jsonb,NO,'{}'::jsonb
public,jalapeno_growth_reports,6,recommendations,jsonb,NO,'{}'::jsonb
public,jalapeno_growth_reports,7,created_at,timestamp with time zone,NO,now()
public,jalapeno_image_assets,1,id,uuid,NO,gen_random_uuid()
public,jalapeno_image_assets,2,run_id,uuid,NO,NULL
public,jalapeno_image_assets,3,candidate_id,text,NO,NULL
public,jalapeno_image_assets,4,post_id,uuid,YES,NULL
public,jalapeno_image_assets,5,local_temp_path,text,NO,NULL
public,jalapeno_image_assets,6,storage_bucket,text,YES,NULL
public,jalapeno_image_assets,7,storage_path,text,YES,NULL
public,jalapeno_image_assets,8,public_url,text,YES,NULL
public,jalapeno_image_assets,9,image_type,text,NO,NULL
public,jalapeno_image_assets,10,content_type,text,NO,NULL
public,jalapeno_image_assets,11,width,integer,NO,NULL
public,jalapeno_image_assets,12,height,integer,NO,NULL
public,jalapeno_image_assets,13,aspect_ratio,numeric,NO,NULL
public,jalapeno_image_assets,14,file_size_bytes,bigint,NO,NULL
public,jalapeno_image_assets,15,format,text,NO,NULL
public,jalapeno_image_assets,16,branding_applied,boolean,NO,false
public,jalapeno_image_assets,17,meme_format_applied,boolean,NO,false
public,jalapeno_image_assets,18,validation_status,text,NO,NULL
public,jalapeno_image_assets,19,uploaded_at,timestamp with time zone,YES,NULL
public,jalapeno_image_assets,20,cleanup_status,text,NO,'pending'::text
public,jalapeno_image_assets,21,created_at,timestamp with time zone,NO,now()
public,jalapeno_image_assets,22,updated_at,timestamp with time zone,NO,now()
public,jalapeno_image_assets,23,image_prompt,text,YES,NULL
public,jalapeno_image_assets,24,image_source,text,NO,'unknown'::text
public,jalapeno_image_assets,25,prompt_quality,integer,NO,0
public,jalapeno_image_assets,26,validation_reason,text,YES,NULL
public,jalapeno_image_assets,27,prompt_version,text,YES,NULL
public,jalapeno_image_assets,28,generation_time_ms,integer,YES,NULL
public,jalapeno_image_assets,29,image_model,text,YES,NULL
public,jalapeno_image_assets,30,metadata,jsonb,YES,NULL
public,jalapeno_image_assets,31,quality_score,integer,YES,NULL
public,jalapeno_instagram_posts,1,id,uuid,NO,gen_random_uuid()
public,jalapeno_instagram_posts,2,run_id,uuid,NO,NULL
public,jalapeno_instagram_posts,3,candidate_id,text,NO,NULL
public,jalapeno_instagram_posts,4,post_id,uuid,YES,NULL
public,jalapeno_instagram_posts,5,image_asset_id,uuid,YES,NULL
public,jalapeno_instagram_posts,6,container_id,text,YES,NULL
public,jalapeno_instagram_posts,7,container_status,text,YES,NULL
public,jalapeno_instagram_posts,8,container_created_at,timestamp with time zone,YES,NULL
public,jalapeno_instagram_posts,9,request_payload_safe,jsonb,NO,'{}'::jsonb
public,jalapeno_instagram_posts,10,response_payload,jsonb,NO,'{}'::jsonb
public,jalapeno_instagram_posts,11,published_media_id,text,YES,NULL
public,jalapeno_instagram_posts,12,permalink,text,YES,NULL
public,jalapeno_instagram_posts,13,caption,text,YES,NULL
public,jalapeno_instagram_posts,14,hashtags,ARRAY,NO,ARRAY[]::text[]
public,jalapeno_instagram_posts,15,alt_text,text,YES,NULL
public,jalapeno_instagram_posts,16,image_url,text,YES,NULL
public,jalapeno_instagram_posts,17,content_type,text,NO,NULL
public,jalapeno_instagram_posts,18,scheduled_post_type,text,YES,NULL
public,jalapeno_instagram_posts,19,scheduled_for,timestamp with time zone,YES,NULL
public,jalapeno_instagram_posts,20,published_at,timestamp with time zone,YES,NULL
public,jalapeno_instagram_posts,21,status,text,NO,'pending'::text
public,jalapeno_instagram_posts,22,failure_stage,text,YES,NULL
public,jalapeno_instagram_posts,23,failure_reason,text,YES,NULL
public,jalapeno_instagram_posts,24,error_code,text,YES,NULL
public,jalapeno_instagram_posts,25,error_message,text,YES,NULL
public,jalapeno_instagram_posts,26,retry_count,integer,NO,0
public,jalapeno_instagram_posts,27,last_attempt_at,timestamp with time zone,YES,NULL
public,jalapeno_instagram_posts,28,cost_estimate,numeric,YES,NULL
public,jalapeno_instagram_posts,29,metadata,jsonb,NO,'{}'::jsonb
